# Constructed from biom file
#OTU ID	mgm4517706.3	mgm4517705.3	mgm4517704.3	mgm4517707.3	ontology
K00032	132.0	245.0	292.0	102.0	Metabolism; Carbohydrate metabolism; 00030 Pentose phosphate pathway [PATH:ko00030]; E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	250.0	0.0	0.0	233.0	Metabolism; Carbohydrate metabolism; 00030 Pentose phosphate pathway [PATH:ko00030]; E1.1.1.44, PGD, gnd; 6-phosphogluconate dehydrogenase [EC:1.1.1.44]
K00036	181.0	0.0	0.0	182.0	Metabolism; Carbohydrate metabolism; 00030 Pentose phosphate pathway [PATH:ko00030]; G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]
K00041	963.0	1213.0	1430.0	922.0	Metabolism; Carbohydrate metabolism; 00040 Pentose and glucuronate interconversions [PATH:ko00040]; uxaB; tagaturonate reductase [EC:1.1.1.58]
K00048	390.0	386.0	433.0	359.0	Metabolism; Carbohydrate metabolism; 00620 Pyruvate metabolism [PATH:ko00620]; fucO; lactaldehyde reductase [EC:1.1.1.77]
K00052	1010.0	0.0	0.0	980.0	Metabolism; Amino acid metabolism; 00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]; leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	835.0	943.0	1102.0	871.0	Metabolism; Amino acid metabolism; 00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]; ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00077	2261.0	2007.0	2142.0	2205.0	Metabolism; Metabolism of cofactors and vitamins; 00770 Pantothenate and CoA biosynthesis [PATH:ko00770]; panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00079	398.0	908.0	1049.0	410.0	Human Diseases; Cancers; 05204 Chemical carcinogenesis [PATH:ko05204]; CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00080	82.0	0.0	0.0	88.0	Metabolism; Carbohydrate Metabolism; 00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]; E4.2.1.47, gmd; GDPmannose 4,6-dehydratase [EC:4.2.1.47]
K00081	78.0	0.0	0.0	85.0	Metabolism; Lipid metabolism; 00590 Arachidonic acid metabolism [PATH:ko00590]; CBR2; carbonyl reductase 2 [EC:1.1.1.184]
K00082	132.0	0.0	0.0	129.0	Metabolism; Metabolism of cofactors and vitamins; 00740 Riboflavin metabolism [PATH:ko00740]; ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00088	1869.0	1771.0	1911.0	1824.0	Metabolism; Nucleotide metabolism; 00230 Purine metabolism [PATH:ko00230]; E1.1.1.205, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00093	842.0	1604.0	1842.0	812.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.1.1.244; methanol dehydrogenase [EC:1.1.1.244]
K00097	1171.0	1250.0	1371.0	1102.0	Metabolism; Metabolism of cofactors and vitamins; 00750 Vitamin B6 metabolism [PATH:ko00750]; pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00103	2313.0	0.0	0.0	2055.0	Metabolism; Carbohydrate metabolism; 00053 Ascorbate and aldarate metabolism [PATH:ko00053]; E1.1.3.8; L-gulonolactone oxidase [EC:1.1.3.8]
K00104	1396.0	0.0	782.0	1355.0	Metabolism; Carbohydrate metabolism; 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]; glcD; glycolate oxidase [EC:1.1.3.15]
K00108	82.0	0.0	0.0	0.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; E1.1.99.1, betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00109	121.0	0.0	0.0	108.0	Metabolism; Carbohydrate metabolism; 00650 Butanoate metabolism [PATH:ko00650]; E1.1.99.2; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00113	1972.0	865.0	944.0	1995.0	Metabolism; Lipid metabolism; 00564 Glycerophospholipid metabolism [PATH:ko00564]; glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	608.0	223.0	285.0	625.0	Metabolism; Carbohydrate metabolism; 00010 Glycolysis / Gluconeogenesis [PATH:ko00010]; E1.1.2.8; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	414.0	0.0	0.0	0.0	Metabolism; Carbohydrate metabolism; 00030 Pentose phosphate pathway [PATH:ko00030]; E1.1.99.10; glucose dehydrogenase (acceptor) [EC:1.1.99.10]
K00126	1434.0	504.0	612.0	1425.0	Metabolism; Carbohydrate metabolism; 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]; E1.2.1.2D, fdsD; formate dehydrogenase, delta subunit [EC:1.2.1.2]
K00127	0.0	565.0	618.0	0.0	Metabolism; Carbohydrate metabolism; 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]; E1.2.1.2G; formate dehydrogenase, gamma subunit
K00132	1797.0	678.0	751.0	1781.0	Metabolism; Carbohydrate metabolism; 00620 Pyruvate metabolism [PATH:ko00620]; E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	1513.0	1228.0	1458.0	1460.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	1290.0	1210.0	1305.0	1105.0	Environmental Information Processing; Signal transduction; 04066 HIF-1 signaling pathway [PATH:ko04066]; GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00136	2012.0	1860.0	2003.0	1978.0	Metabolism; Metabolism of Other Amino Acids; 00410 beta-Alanine metabolism [PATH:ko00410]; E4.1.1.9, MLYCD; malonyl-CoA decarboxylase [EC:4.1.1.9]
K00150	142.0	270.0	320.0	111.0	Metabolism; Carbohydrate metabolism; 00010 Glycolysis / Gluconeogenesis [PATH:ko00010]; gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00156	330.0	0.0	0.0	315.0	Metabolism; Carbohydrate metabolism; 00620 Pyruvate metabolism [PATH:ko00620]; poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	82.0	0.0	0.0	63.0	Metabolism; Amino acid metabolism; 00280 Valine, leucine and isoleucine degradation [PATH:ko00280]; AOX; aldehyde oxidase [EC:1.2.3.1]
K00161	291.0	0.0	0.0	278.0	Environmental Information Processing; Signal transduction; 04066 HIF-1 signaling pathway [PATH:ko04066]; PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00166	99.0	0.0	0.0	0.0	Metabolism; Amino acid metabolism; 00280 Valine, leucine and isoleucine degradation [PATH:ko00280]; E1.2.4.4A, bkdA1; 2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4]
K00169	393.0	0.0	0.0	374.0	Metabolism; Carbohydrate metabolism; 00010 Glycolysis / Gluconeogenesis [PATH:ko00010]; porA; pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]
K00172	0.0	755.0	0.0	410.0	Metabolism; Carbohydrate metabolism; 00010 Glycolysis / Gluconeogenesis [PATH:ko00010]; porG; pyruvate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.1]
K00174	2554.0	0.0	0.0	2289.0	Metabolism; Carbohydrate metabolism; 00020 Citrate cycle (TCA cycle) [PATH:ko00020]; korA; 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]
K00175	1328.0	592.0	707.0	1285.0	Metabolism; Carbohydrate metabolism; 00020 Citrate cycle (TCA cycle) [PATH:ko00020]; korB; 2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]
K00176	1370.0	1556.0	1739.0	1336.0	Metabolism; Carbohydrate metabolism; 00020 Citrate cycle (TCA cycle) [PATH:ko00020]; korD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00182	537.0	0.0	0.0	525.0	Environmental Information Processing; Signal transduction; 04310 Wnt signaling pathway [PATH:ko04310]; WNT2; wingless-type MMTV integration site family, member 2
K00198	1206.0	1304.0	1491.0	1134.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.2.99.2C, cooS; carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.99.2]
K00202	1334.0	1286.0	1464.0	1293.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.2.99.5C, fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.99.5]
K00203	114.0	79.0	92.0	112.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.2.99.5D, fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.99.5]
K00204	1884.0	2217.0	2477.0	1737.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.2.99.5H, fwdH; formylmethanofuran dehydrogenase subunit H [EC:1.2.99.5]
K00208	1404.0	0.0	0.0	1456.0	Metabolism; Lipid metabolism; 00061 Fatty acid biosynthesis [PATH:ko00061]; fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00210	141.0	102.0	0.0	129.0	Metabolism; Amino acid metabolism; 00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]; E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]
K00213	0.0	16.0	12.0	0.0	Metabolism; Lipid metabolism; 00100 Steroid biosynthesis [PATH:ko00100]; DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	593.0	594.0	669.0	574.0	Metabolism; Metabolism of cofactors and vitamins; 00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]; BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]
K00216	1158.0	1095.0	1273.0	1086.0	Metabolism; Metabolism of terpenoids and polyketides; 01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]; entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	537.0	0.0	0.0	526.0	Metabolism; Xenobiotics biodegradation and metabolism; 00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]; E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
K00222	1114.0	923.0	996.0	1056.0	Metabolism; Lipid metabolism; 00100 Steroid biosynthesis [PATH:ko00100]; E1.3.1.70, TM7SF2, ERG24; delta14-sterol reductase [EC:1.3.1.70]
K00225	928.0	745.0	812.0	903.0	Metabolism; Carbohydrate metabolism; 00053 Ascorbate and aldarate metabolism [PATH:ko00053]; E1.3.2.3; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]
K00230	1763.0	1715.0	1899.0	1749.0	Metabolism; Metabolism of cofactors and vitamins; 00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]; hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00236	0.0	0.0	4.0	0.0	Human Diseases; Neurodegenerative diseases; 05010 Alzheimer's disease [PATH:ko05010]; SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00239	2044.0	1164.0	1295.0	2041.0	Human Diseases; Infectious diseases; 05134 Legionellosis [PATH:ko05134]; sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]
K00240	602.0	229.0	296.0	624.0	Metabolism; Carbohydrate metabolism; 00020 Citrate cycle (TCA cycle) [PATH:ko00020]; sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]
K00247	798.0	794.0	928.0	741.0	Environmental Information Processing; Signal transduction; 02020 Two-component system [PATH:ko02020]; frdD; fumarate reductase subunit D
K00248	0.0	808.0	927.0	0.0	Metabolism; Amino acid metabolism; 00280 Valine, leucine and isoleucine degradation [PATH:ko00280]; ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	1222.0	0.0	0.0	0.0	Metabolism; Amino acid metabolism; 00280 Valine, leucine and isoleucine degradation [PATH:ko00280]; ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K00251	1160.0	455.0	494.0	1125.0	Metabolism; Lipid metabolism; 00120 Primary bile acid biosynthesis [PATH:ko00120]; AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]
K00257	1362.0	729.0	778.0	1266.0	Metabolism; Metabolism of terpenoids and polyketides; 00281 Geraniol degradation [PATH:ko00281]; E1.3.99.-;  [EC:1.3.99.-]
K00259	551.0	0.0	0.0	498.0	Metabolism; Amino acid metabolism; 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]; ald; alanine dehydrogenase [EC:1.4.1.1]
K00262	2575.0	1966.0	2235.0	2545.0	Metabolism; Amino acid metabolism; 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]; E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00265	1656.0	1344.0	1508.0	1635.0	Metabolism; Amino acid metabolism; 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]; gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]
K00266	2636.0	0.0	0.0	0.0	Metabolism; Amino acid metabolism; 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]; gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
K00278	3941.0	0.0	0.0	3841.0	Metabolism; Amino acid metabolism; 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]; nadB; L-aspartate oxidase [EC:1.4.3.16]
K00282	1102.0	1507.0	1645.0	1087.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	1267.0	1197.0	1375.0	1222.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00287	954.0	0.0	731.0	904.0	Metabolism; Metabolism of cofactors and vitamins; 00670 One carbon pool by folate [PATH:ko00670]; folA; dihydrofolate reductase [EC:1.5.1.3]
K00290	1067.0	513.0	595.0	1009.0	Metabolism; Amino acid metabolism; 00300 Lysine biosynthesis [PATH:ko00300]; LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00292	433.0	552.0	631.0	421.0	Metabolism; Amino acid metabolism; 00310 Lysine degradation [PATH:ko00310]; E1.5.1.9; saccharopine dehydrogenase (NAD+, L-glutamate forming) [EC:1.5.1.9]
K00294	335.0	305.0	303.0	263.0	Metabolism; Amino acid metabolism; 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]; E1.5.1.12; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.1.12]
K00299	1891.0	2226.0	2501.0	1749.0	Metabolism; Metabolism of cofactors and vitamins; 00740 Riboflavin metabolism [PATH:ko00740]; ssuE; FMN reductase [EC:1.5.1.38]
K00301	815.0	488.0	568.0	834.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
K00305	685.0	0.0	0.0	743.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]
K00318	58.0	0.0	0.0	0.0	Metabolism; Amino acid metabolism; 00330 Arginine and proline metabolism [PATH:ko00330]; E1.5.99.8; proline dehydrogenase [EC:1.5.99.8]
K00319	1158.0	452.0	493.0	1119.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.99.9]
K00328	1334.0	1287.0	1462.0	1294.0	Metabolism; Carbohydrate metabolism; 00562 Inositol phosphate metabolism [PATH:ko00562]; IPMK; inositol-polyphosphate multikinase [EC:2.7.1.151]
K00330	294.0	0.0	0.0	253.0	Metabolism; Energy metabolism; 00190 Oxidative phosphorylation [PATH:ko00190]; nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]
K00331	1162.0	999.0	0.0	0.0	Metabolism; Energy metabolism; 00190 Oxidative phosphorylation [PATH:ko00190]; nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]
K00335	478.0	0.0	0.0	441.0	Metabolism; Energy metabolism; 00190 Oxidative phosphorylation [PATH:ko00190]; nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]
K00337	486.0	0.0	0.0	465.0	Metabolism; Energy metabolism; 00190 Oxidative phosphorylation [PATH:ko00190]; nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
K00338	219.0	0.0	0.0	0.0	Metabolism; Energy metabolism; 00190 Oxidative phosphorylation [PATH:ko00190]; nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
K00342	726.0	0.0	0.0	646.0	Metabolism; Energy metabolism; 00190 Oxidative phosphorylation [PATH:ko00190]; nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]
K00357	0.0	0.0	0.0	28.0	Metabolism; Metabolism of cofactors and vitamins; 00790 Folate biosynthesis [PATH:ko00790]; QDPR; dihydropteridine reductase [EC:1.5.1.34]
K00364	14.0	0.0	0.0	19.0	Metabolism; Nucleotide metabolism; 00230 Purine metabolism [PATH:ko00230]; E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]
K00373	6525.0	4432.0	5040.0	6094.0	Environmental Information Processing; Signal transduction; 02020 Two-component system [PATH:ko02020]; narJ; nitrate reductase 1, delta subunit
K00374	4.0	0.0	0.0	0.0	Environmental Information Processing; Signal transduction; 02020 Two-component system [PATH:ko02020]; narI; nitrate reductase 1, gamma subunit [EC:1.7.99.4]
K00376	1238.0	0.0	0.0	1190.0	Metabolism; Energy metabolism; 00910 Nitrogen metabolism [PATH:ko00910]; nosZ; nitrous-oxide reductase [EC:1.7.2.4]
K00392	2238.0	0.0	0.0	2057.0	Metabolism; Energy metabolism; 00920 Sulfur metabolism [PATH:ko00920]; sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00395	0.0	0.0	0.0	5.0	Metabolism; Energy metabolism; 00920 Sulfur metabolism [PATH:ko00920]; aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]
K00400	367.0	334.0	388.0	342.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; K00400; methyl coenzyme M reductase system, component A2
K00404	1904.0	2265.0	2534.0	1752.0	Environmental Information Processing; Signal transduction; 02020 Two-component system [PATH:ko02020]; ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]
K00414	25.0	28.0	0.0	0.0	Human Diseases; Neurodegenerative diseases; 05010 Alzheimer's disease [PATH:ko05010]; QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1
K00415	28.0	0.0	0.0	29.0	Human Diseases; Neurodegenerative diseases; 05010 Alzheimer's disease [PATH:ko05010]; QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2
K00417	19.0	0.0	0.0	26.0	Human Diseases; Neurodegenerative diseases; 05010 Alzheimer's disease [PATH:ko05010]; QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7
K00418	20.0	0.0	0.0	29.0	Human Diseases; Neurodegenerative diseases; 05010 Alzheimer's disease [PATH:ko05010]; QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8
K00425	1082.0	0.0	0.0	965.0	Environmental Information Processing; Signal transduction; 02020 Two-component system [PATH:ko02020]; cydA; cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]
K00436	0.0	12.0	13.0	0.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.12.1.2; hydrogen dehydrogenase [EC:1.12.1.2]
K00440	0.0	5.0	0.0	0.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; frhA; coenzyme F420 hydrogenase alpha subunit [EC:1.12.98.1]
K00442	17.0	0.0	0.0	0.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; frhD; coenzyme F420 hydrogenase delta subunit
K00451	0.0	0.0	0.0	4.0	Metabolism; Amino acid metabolism; 00350 Tyrosine metabolism [PATH:ko00350]; HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
K00462	214.0	190.0	198.0	216.0	Metabolism; Xenobiotics biodegradation and metabolism; 00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]; bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]
K00467	4.0	0.0	0.0	0.0	Metabolism; Carbohydrate metabolism; 00620 Pyruvate metabolism [PATH:ko00620]; E1.13.12.4; lactate 2-monooxygenase [EC:1.13.12.4]
K00483	51.0	78.0	99.0	41.0	Metabolism; Amino acid metabolism; 00350 Tyrosine metabolism [PATH:ko00350]; hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00487	114.0	0.0	0.0	99.0	Metabolism; Amino acid metabolism; 00360 Phenylalanine metabolism [PATH:ko00360]; CYP73A; trans-cinnamate 4-monooxygenase [EC:1.14.13.11]
K00516	61.0	177.0	188.0	63.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 00626 Naphthalene degradation [PATH:ko00626]; E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
K00525	2488.0	1013.0	1128.0	2409.0	Metabolism; Nucleotide metabolism; 00230 Purine metabolism [PATH:ko00230]; E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00526	173.0	0.0	0.0	178.0	Metabolism; Nucleotide metabolism; 00230 Purine metabolism [PATH:ko00230]; E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00527	2710.0	3088.0	3568.0	2679.0	Metabolism; Nucleotide metabolism; 00230 Purine metabolism [PATH:ko00230]; nrdD; ribonucleoside-triphosphate reductase [EC:1.17.4.2]
K00529	345.0	0.0	0.0	290.0	Metabolism; Amino acid metabolism; 00360 Phenylalanine metabolism [PATH:ko00360]; hcaD; ferredoxin--NAD+ reductase [EC:1.18.1.3]
K00531	1761.0	1709.0	1897.0	1747.0	Metabolism; Energy metabolism; 00910 Nitrogen metabolism [PATH:ko00910]; anfG; nitrogenase [EC:1.18.6.1]
K00534	0.0	0.0	0.0	1.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E1.12.7.2S; ferredoxin hydrogenase small subunit [EC:1.12.7.2]
K00559	1650.0	1519.0	1738.0	1639.0	Metabolism; Lipid metabolism; 00100 Steroid biosynthesis [PATH:ko00100]; E2.1.1.41, SMT1, ERG6; sterol 24-C-methyltransferase [EC:2.1.1.41]
K00560	810.0	673.0	766.0	836.0	Metabolism; Metabolism of cofactors and vitamins; 00670 One carbon pool by folate [PATH:ko00670]; E2.1.1.45, thyA; thymidylate synthase [EC:2.1.1.45]
K00566	1992.0	2972.0	3367.0	1885.0	Genetic Information Processing; Folding, sorting and degradation; 04122 Sulfur relay system [PATH:ko04122]; mnmA, trmU, TRMU; tRNA-specific 2-thiouridylase [EC:2.8.1.-]
K00569	2407.0	2706.0	3014.0	2213.0	Metabolism; Xenobiotics biodegradation and metabolism; 00983 Drug metabolism - other enzymes [PATH:ko00983]; E2.1.1.67, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]
K00570	3122.0	3619.0	4115.0	2962.0	Metabolism; Lipid metabolism; 00564 Glycerophospholipid metabolism [PATH:ko00564]; pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00578	976.0	0.0	0.0	920.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; E2.1.1.86B, mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]
K00581	546.0	802.0	895.0	513.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]
K00584	1697.0	0.0	0.0	1564.0	Metabolism; Energy metabolism; 00680 Methane metabolism [PATH:ko00680]; mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
K00588	437.0	0.0	0.0	417.0	Metabolism; Amino acid metabolism; 00360 Phenylalanine metabolism [PATH:ko00360]; E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K00600	1479.0	1353.0	1511.0	1436.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
K00603	2799.0	895.0	980.0	2692.0	Metabolism; Amino acid metabolism; 00340 Histidine metabolism [PATH:ko00340]; E2.1.2.5; glutamate formiminotransferase [EC:2.1.2.5]
